,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 18:46:02 +0000 2019,m a y,766984087886237697,349,0,1008,RT @blobyblo: Million+ souls listening to us right now on @Spotify 🙏🏻 Thank you all so much. May your sleepless nights become dreams awaken…
1,Wed Apr 03 18:45:55 +0000 2019,Detective Polly,241602576,185,0,0,"hey, @TheJudge44 can you make a playlist on @AppleMusic or @Spotify of what you play in the clubhouse before games? please and thank you"
2,Wed Apr 03 18:45:46 +0000 2019,Danayt 🇫🇷,814773837426552833,23,0,3174,"RT @Spotify: Twinny twin twins 👯‍♀️
@ArianaGrande x @VictoriaMonet.
#MONOPOLY is here 🖤
https://t.co/R0dpc8Oc5U https://t.co/hBH19b24MG"
3,Wed Apr 03 18:45:33 +0000 2019,camille lgh,1055187947086069761,38,0,1,"RT @camillelgh: uploaded a new episode of Novel Ideas, School Assigned Readings! also available on @Spotify and @ApplePodcasts. @anchor #an…"
4,Wed Apr 03 18:45:31 +0000 2019,yeet,991363228763672576,18,0,0,@ComplexMusic @JuiceWorlddd @iamcardib @1GunnaGunna @officialjaden @Spotify @brooklynmuseum Chose a bad time to get… https://t.co/j3A2gQxy7m
5,Wed Apr 03 18:45:18 +0000 2019,chain gang of 1974,15800140,9742,0,0,@SpotifyMexico @Spotify 🖤
6,Wed Apr 03 18:45:16 +0000 2019,ProfitWell,872657772420124672,542,0,0,"✌️ @Spotify offers a 2 for 1 deal (sort of) with their Premium Duo tier, a discounted subscription for two. For the… https://t.co/CYRLU7soWo"
7,Wed Apr 03 18:45:04 +0000 2019,No,1969500877,479,0,4426,"RT @billieeilish: Immerse yourself in the #BillieEilishExperience, now live on @Spotify. https://t.co/Km9F3mKs3l https://t.co/JlJJRZ9Sfz"
8,Wed Apr 03 18:45:03 +0000 2019,lesley o'hare,161020055,262,0,0,"@LibFalkirk At night, Black Dogs by Ian McEwan ( forgotten I’d read it before but still compelled to finish it for… https://t.co/JptYiICLdU"
9,Wed Apr 03 18:45:00 +0000 2019,duygu,3420727486,410,0,4332,RT @Spotify: Who's hungry for a brand new #TokyoGhoul playlist? Tracks selected by @sotonami 🙏 https://t.co/rrzHRhZR0K https://t.co/2HFj060…
10,Wed Apr 03 18:44:54 +0000 2019,Laura #TeamKaeun,1529990930,111,0,1008,RT @blobyblo: Million+ souls listening to us right now on @Spotify 🙏🏻 Thank you all so much. May your sleepless nights become dreams awaken…
11,Wed Apr 03 18:44:45 +0000 2019,Aqua¥n8tive,57861602,332,0,0,@Spotify why’d you remove becoming x by sneaker pimps 😔
12,Wed Apr 03 18:44:44 +0000 2019,Biah,389205325,222,0,0,Só queria saber por que não tem os albuns do RBD no @SpotifyBR @Spotify ?
13,Wed Apr 03 18:44:43 +0000 2019,ZainR,31002938,3953,0,0,@LindseyStirling @vrbroussard @Spotify I'm more excited for Friday!
14,Wed Apr 03 18:44:33 +0000 2019,{},2421429823,306,0,7,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
15,Wed Apr 03 18:44:32 +0000 2019,kookienochu,931396946492665861,54,0,1008,RT @blobyblo: Million+ souls listening to us right now on @Spotify 🙏🏻 Thank you all so much. May your sleepless nights become dreams awaken…
16,Wed Apr 03 18:44:22 +0000 2019,Dārta,753293546489257984,17,0,0,Ha @Spotify im never buying Spotify premium cause the adds sound like music to me.
17,Wed Apr 03 18:44:16 +0000 2019,ZainR,31002938,3953,0,34,RT @LindseyStirling: I'm featured on @vrbroussard's new song #Deeper and it comes out this Friday!! Pre-save it on @Spotify here: https://t…
18,Wed Apr 03 18:44:10 +0000 2019,Réy 🕊,2417086111,11696,0,617,"RT @JoeBuddenPod: The @JoeBudden Podcast Episode 235 “Room 112” is available now!

Stream exclusively on  @Spotify

LISTEN HERE 🎧 : https:/…"
19,Wed Apr 03 18:43:55 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NewMusic - #WANNA AVAILABLE ON #Spotify @Spotify 🔥‼️✅
https://t.co/RIYs3HT98g"
20,Wed Apr 03 18:43:53 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NewMusic - #iJust available on @Spotify #Spotify now ‼️✅
https://t.co/YqlNlqGQgx"
21,Wed Apr 03 18:43:51 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #Going [Prod. @9inetySevn ] available on @spotify #spotify #music now ‼️🚀🔥
https://t.co/FumeNgEvhT"
22,Wed Apr 03 18:43:49 +0000 2019,Debbie Welsh Glambert,958908871,448,0,13,"RT @skaschep: +19,941 today! 🎉 #NowPlaying #FeelSomething 🖤 by @AdamLambert Now 1,357,294 streams on @Spotify! 🎧 (3 April 2019) For the fir…"
23,Wed Apr 03 18:43:48 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,RT @DoeTeamENT: #TrustIt [Prod. @9inetySevn ] available on @Spotify #spotify #music now ❗️🚀🔉 https://t.co/XjbBzfDbeT
24,Wed Apr 03 18:43:39 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #Time [Prod. Aizbi] ft. @IAmCastaPlan - Available now on @Spotify #Spotify ✅‼️
https://t.co/QMhXrZMauK"
25,Wed Apr 03 18:43:35 +0000 2019,⋈ Jin’s pretty girl is seeing Monsta X💜 ⋈,249000932,496,0,7,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
26,Wed Apr 03 18:43:15 +0000 2019,Alexander,3678408196,74,0,617,"RT @JoeBuddenPod: The @JoeBudden Podcast Episode 235 “Room 112” is available now!

Stream exclusively on  @Spotify

LISTEN HERE 🎧 : https:/…"
27,Wed Apr 03 18:43:08 +0000 2019,theo,1103828047059345409,55,0,792,"RT @PViphurit: A lot of love for you, 2018 @Spotify. #2018ArtistWrapped https://t.co/5A00dZqiSV"
28,Wed Apr 03 18:43:06 +0000 2019,yes,1000405371507347456,11,0,0,@Spotify CHANGE THE LAYOUT BACK THAT SHIT IS UGLY
29,Wed Apr 03 18:43:03 +0000 2019,𝐃𝐀𝐍𝐈,796905277421449216,908,0,0,Thank you @Spotify for this playlist. 😍😍 https://t.co/rjiHjBu50J
30,Wed Apr 03 18:43:01 +0000 2019,RunBTS,860162403102797825,1265,0,1008,RT @blobyblo: Million+ souls listening to us right now on @Spotify 🙏🏻 Thank you all so much. May your sleepless nights become dreams awaken…
31,Wed Apr 03 18:43:00 +0000 2019,✴Azul Spears✴❤❄😍💕,4485474317,177,0,7,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
32,Wed Apr 03 18:42:58 +0000 2019,anna ♡'s min min #LCDP3,863537595258720256,467,0,7,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
33,Wed Apr 03 18:42:48 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #Blessings [Prod. ATGBeatz] - Available now on @Spotify #Spotify ✅‼️
https://t.co/F7UzQI7M5U"
34,Wed Apr 03 18:42:46 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NoSingin [Prod. Brun] - Available now on @Spotify! 
https://t.co/CT5Waf1L8R"
35,Wed Apr 03 18:42:42 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NowPlaying - #Whatever on @Spotify #Spotify #Music ❗️✅ 💯
https://t.co/Ul2FqLp0YW"
36,Wed Apr 03 18:42:41 +0000 2019,Fabiola Martíne,100027193,77,1,0,Escucha lo mejor de su música a través de @Spotify en un solo playlist😘🥰🤩😊🤪 @NattiNatasha https://t.co/WurVSvpTYD
37,Wed Apr 03 18:42:35 +0000 2019,DJ Jonn Doe,285896149,1235,0,0,"RT @DoeTeamENT: #Love4Me - Casta Plan X DJ Jonn Doe via @spotify #music #tweeet 
https://t.co/XLAbd2CQJO"
38,Wed Apr 03 18:42:33 +0000 2019,CrazyCoolCorry,1032015530918600705,17,0,1,RT @thetigerbelly: Episode 188: @DaneCook &amp; The Pressure Players on iTunes @Spotify @Castbox_fm &amp; @allthingscomedy. @YouTube available Thur…
39,Wed Apr 03 18:42:29 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: For The Love of Doe - DJ Jonn Doe available on @spotify #spotify #music now! 
https://t.co/VSmnFunAlH"
40,Wed Apr 03 18:42:09 +0000 2019,Sam Johnson,727392756,11539,0,14,RT @Eman8: pre save now available for my new single IOU ft @KidQuill @spotify https://t.co/dHhw4gA0SR
41,Wed Apr 03 18:42:09 +0000 2019,FriendFilmsTheWorld,3029398948,106,0,0,Whoever came up with the “discocover weekly” at @Spotify needs. a. raise. Best #AprilFoolsDay2019 ever. #discoverweekly #discocover
42,Wed Apr 03 18:42:08 +0000 2019,Benjamin | Sec ⠵,329879137,685,0,218,RT @IAmAlanWalker: Wow! #OnMyWay is almost Top 50 on @Spotify Global💥 Thank you for listening🙏🏻 https://t.co/96oE3WDV4a
43,Wed Apr 03 18:42:02 +0000 2019,Meyer Lanskey,717434324660961281,2193,0,617,"RT @JoeBuddenPod: The @JoeBudden Podcast Episode 235 “Room 112” is available now!

Stream exclusively on  @Spotify

LISTEN HERE 🎧 : https:/…"
44,Wed Apr 03 18:41:58 +0000 2019,AdoreAri ♡,535779774,897,0,3174,"RT @Spotify: Twinny twin twins 👯‍♀️
@ArianaGrande x @VictoriaMonet.
#MONOPOLY is here 🖤
https://t.co/R0dpc8Oc5U https://t.co/hBH19b24MG"
45,Wed Apr 03 18:41:26 +0000 2019,Luis Felipe Hurtado,117642188,9568,0,4,RT @TrevilandersGT: #Hijoepu*# de @GloriaTrevi ft @KarolGmusic ya tiene más 2.5 Millones de reproducciones en @Spotify! https://t.co/MteiXq…
46,Wed Apr 03 18:41:16 +0000 2019,Eskimo Hoe,1086193985377439744,23,0,0,"@Spotify doesnt have any algorithms, they just read your mind."
47,Wed Apr 03 18:41:12 +0000 2019,str33tkit,197604790,589,0,11,"RT @koncept: My single “Strong” just hit 10k on @Spotify . Let’s turn it into 20, then 40, then a million... 💪🏼❤️

#strong
https://t.co/WYL…"
